[0.000000] (-) TimerEvent: {}
[0.000442] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000804] (-) JobUnselected: {'identifier': 'aruco'}
[0.001033] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.001212] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.001282] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.001406] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001465] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.001524] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.001557] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001600] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001900] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001955] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002039] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002088] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.002119] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.002160] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.002191] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.002224] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.002402] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002457] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002540] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.002588] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002619] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002660] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.002691] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002946] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.003007] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003061] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003113] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.003163] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003212] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003261] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003320] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.003380] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003415] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003498] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003545] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.003576] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.003615] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.003646] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.003674] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.003703] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.003884] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.003956] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.003997] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.004051] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004110] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.004147] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004232] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004281] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004317] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004347] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.004376] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.004405] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.004491] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.004538] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.004589] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.004622] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.004651] (-) JobUnselected: {'identifier': 'serial'}
[0.004680] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.004708] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.004758] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.004839] (-) JobUnselected: {'identifier': 'tts'}
[0.004886] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.004940] (-) JobUnselected: {'identifier': 'ublox'}
[0.005138] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.005197] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.005248] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.005314] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
